module_name,current_version,newest_version,links,notes,tag
System.IdentityModel.Tokens.Jwt.dll,,,https://api.nuget.org/v3-flatcontainer/system.identitymodel.tokens.jwt/index.json,,1
Microsoft.IdentityModel.Protocols.OpenIdConnect.dll,,,https://api.nuget.org/v3-flatcontainer/microsoft.identitymodel.protocols.openidconnect/index.json,,1
Microsoft.IdentityModel.Protocols.dll,,,https://api.nuget.org/v3-flatcontainer/microsoft.identitymodel.protocols/index.json,,1
Microsoft.Diagnostics.NETCore.Client.dll,,,https://api.nuget.org/v3-flatcontainer/microsoft.diagnostics.netcore.client/index.json,,1
Microsoft.ApplicationInsights.Profiler.Logging.dll,,,https://api.nuget.org/v3-flatcontainer/microsoft.applicationinsights.profiler.core/index.json,,1
Microsoft.ApplicationInsights.Profiler.HostingStartup30.dll,,,,,0
Microsoft.AspNetCore.Razor.Language.dll,,,https://api.nuget.org/v3-flatcontainer/microsoft.aspnetcore.razor.language/index.json,,1
Microsoft.EntityFrameworkCore.SqlServer.dll,,,https://api.nuget.org/v3-flatcontainer/microsoft.entityframeworkcore.sqlserver/index.json,,1
System.Runtime.Caching.dll,,,https://api.nuget.org/v3-flatcontainer/system.runtime.caching/index.json,,1
Microsoft.AspNetCore.JsonPatch.dll,,,https://api.nuget.org/v3-flatcontainer/microsoft.aspnetcore.jsonpatch/index.json,,1
System.ServiceModel.Duplex.dll,,,https://api.nuget.org/v3-flatcontainer/system.servicemodel.duplex/index.json,,1
System.Composition.AttributedModel.dll,,,https://api.nuget.org/v3-flatcontainer/system.composition.attributedmodel/index.json,,1
Microsoft.AI.DependencyCollector.dll,,,https://api.nuget.org/v3-flatcontainer/microsoft.applicationinsights.dependencycollector/index.json,,1
Microsoft.IdentityModel.Logging.dll,,,https://api.nuget.org/v3-flatcontainer/microsoft.identitymodel.logging/index.json,,1
Microsoft.Data.SqlClient.dll,,,https://api.nuget.org/v3-flatcontainer/microsoft.data.sqlclient/index.json,Bug in 5.2.0,1
System.Threading.AccessControl.dll,,,https://api.nuget.org/v3-flatcontainer/system.threading.accesscontrol/index.json,,1
System.Net.Http.Formatting.dll,,,,,0
Microsoft.SqlServer.Server.dll,,,,,0
Microsoft.ServiceProfiler.Contract.Http.dll,,,,,0
Microsoft.IdentityModel.Xml.dll,,,https://api.nuget.org/v3-flatcontainer/microsoft.identitymodel.xml/index.json,,1
Microsoft.CodeAnalysis.dll,,,https://api.nuget.org/v3-flatcontainer/microsoft.codeanalysis/index.json,,1
System.ServiceModel.Http.dll,,,https://api.nuget.org/v3-flatcontainer/system.servicemodel.http/index.json,,1
Microsoft.EntityFrameworkCore.Relational.dll,,,https://api.nuget.org/v3-flatcontainer/microsoft.entityframeworkcore.relational/index.json,,1
